time,id,site,x,y,territory,EX,auc_diff,class2_auc_diff,Abibal,Acespi,Aranud,Betpap,Corcan,Drycar,Linbor,Maican,Oxamon,Poptre,Prupen,Rubida,Sorame,Clibor,Epiang,Fraame,Lysbor,Ortsec,Osmcla,Picea,Ribgla,Sampub,Sympun,Betall,Coptri,Rubpub,Thuocc,Mitnud,Grass,Amecan,Carex,Lacbie,Lycopod,Gymdis,Acerub,Rumaca,Pilcae,Taroff,Polyvir,Pteaqu,Epigla,Solmac,Gauhis,Anamar,Geumac,Nabtri,Salix,Riblac,Solcan,Vibedu,Galtri,Athfil,Ciralp,Corsto,Corcor,Monuni,Strlan,Phecon,Loncan,Alnrug,Equarv,Impcap
T3,CH1003_TE,CH1003,425210.9359,5409930.215,Chic-Chocs,TE,-4378.372554,Lower,0.318333333,0,0,0.017380952,0.023095238,0,0,0.003809524,0.010476191,0,0,0.192380952,0,0,0.027619048,0,0,0,0,0.020714286,0.011428571,0.001904762,0,0,0,0,0.000714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,CH1003_TE,CH1003,425210.9359,5409930.215,Chic-Chocs,TE,-4378.372554,Lower,0.115952381,0,0,0.010952381,0.131190476,0,0.045,0.04952381,0.035476191,0,0,0.312380952,0,0,0.026190476,0,0.000952381,0,0,0.146666667,0.00952381,0,0,0,0,0.00952381,0.018809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239047619,0,0,0.015238095,0.003571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,CH1003_TE,CH1003,425210.9359,5409930.215,Chic-Chocs,TE,-4378.372554,Lower,0.122090476,0,0,0.006661905,0.086740476,0,0.018958333,0.013221429,0.012259524,0,0,0.238564286,0,0,0.023278571,0,0.00032381,0,0,0.138216667,0.002755357,0.00691918,0,0,0,0.002155952,0.005418254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161788095,0,0,0.003786905,0.000797381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,CH1003_TE,CH1003,425210.9359,5409930.215,Chic-Chocs,TE,-4378.372554,Lower,0.177142857,0,0,0.008571429,0.088809524,0,0.021904762,0.010476191,0.00952381,0,0,0.235,0,0,0.035952381,0,0.000476191,0,0,0.208571429,0.003095238,0.014761905,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,CH1104_EX,CH1104,424231.737,5408886.451,Chic-Chocs,EX,0,Exclosure,0.356190476,0,0.020714286,0,0.097619048,0,0.192380952,0.034047619,0.000714286,0,0,0.186666667,0.000952381,0,0.04,0,0.016666667,0,0,0.012619048,0.051428571,0.002857143,0,0,0.001190476,0.057142857,0.024047619,0,0,0.00452381,0,0,0,0,0,0,0.001904762,0,0,0,0,0,0.08,0,0,0,0,0.001666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,CH1104_EX,CH1104,424231.737,5408886.451,Chic-Chocs,EX,0,Exclosure,0.507142857,0,0.026190476,0,0.229761905,0,0.288095238,0.2,0.006428571,0,0,0.347142857,0,0.001190476,0.059285714,0,0.010238095,0,0,0.006190476,0.073809524,0,0,0,0.003809524,0.06,0.012142857,0,0,0.014285714,0,0.002857143,0,0,0,0,0.004285714,0,0,0,0,0,0.212142857,0,0,0,0,0.01452381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,CH1104_EX,CH1104,424231.737,5408886.451,Chic-Chocs,EX,0,Exclosure,0.625342857,0,0.028671429,0,0.167511905,0,0.204078571,0.101695238,0.004692857,0,0,0.334764286,0,2.97619E-06,0.060716667,0,0.007385714,0,0,0.024130952,0.079685714,0.000887426,0,0,0.000566667,0.066669048,0.003585714,0,0,0.000242857,0,3.47884E-05,0,0,0,0,0.004617857,0,0,0,0,0,0.199104762,0,0,0,0,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,CH1104_EX,CH1104,424231.737,5408886.451,Chic-Chocs,EX,0,Exclosure,0.56,0,0.009047619,0,0.125952381,0,0.14452381,0.046666667,0.003571429,0,0,0.252857143,0,0,0.037857143,0,0.001190476,0,0,0.013095238,0.053809524,0.000238095,0,0,0,0.015476191,0,0,0,0,0,0,0,0,0,0,0.001190476,0,0,0,0,0,0.142142857,0,0,0,0,0.001428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,CH1104_EX,CH1104,424231.737,5408886.451,Chic-Chocs,EX,0,Exclosure,0.552959524,0,0.012509524,0,0.128207143,0,0.1244,0.053290476,0.006080952,0,0,0.255466667,1.85867E-09,3.3352E-06,0.051838095,0,0.001319048,0,0,0.022309524,0.051980952,0.000280646,0,0,0.000202381,0.011864286,0.00047381,0,0,0.000180952,0,0.000266669,0,0,0,0,0.001440476,0,0,0,0,0,0.108552381,0,0,0,0,0.002161905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,CH1104_TE,CH1104,424212.721,5408919.971,Chic-Chocs,TE,20348.28214,Higher,0.196666667,0,0,0,0.075476191,0,0.09,0.018571429,0.036666667,0,0,0.070714286,0,0.000714286,0.001666667,0,0,0,0,0.006428571,0.032619048,0.001428571,0,0,0,0,0.001904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
